,Survived,Pclass,Sex,Age
328,1,3,0,31.0
73,0,3,1,26.0
253,0,3,1,30.0
719,0,3,1,33.0
666,0,2,1,25.0
30,0,1,1,40.0
287,0,3,1,22.0
217,0,2,1,42.0
797,1,3,0,31.0
371,0,3,1,18.0
376,1,3,0,22.0
138,0,3,1,16.0
105,0,3,1,28.0
68,1,3,0,17.0
361,0,2,1,29.0
720,1,2,0,6.0
599,1,1,1,49.0
514,0,3,1,24.0
313,0,3,1,28.0
743,0,3,1,24.0
319,1,1,0,40.0
21,1,2,1,34.0
417,1,2,0,18.0
835,1,1,0,39.0
569,1,3,1,32.0
291,1,1,0,19.0
80,0,3,1,22.0
487,0,1,1,58.0
546,1,2,0,19.0
38,0,3,0,18.0
247,1,2,0,24.0
445,1,1,1,4.0
323,1,2,0,22.0
714,0,2,1,52.0
876,0,3,1,20.0
265,0,2,1,36.0
812,0,2,1,35.0
448,1,3,0,5.0
657,0,3,0,32.0
311,1,1,0,18.0
430,1,1,1,28.0
478,0,3,1,22.0
219,0,2,1,30.0
290,1,1,0,26.0
679,1,1,1,36.0
473,1,2,0,23.0
463,0,2,1,48.0
838,1,3,1,32.0
205,0,3,0,2.0
608,1,2,0,22.0
786,1,3,0,18.0
858,1,3,0,24.0
452,0,1,1,30.0
365,0,3,1,30.0
616,0,3,1,34.0
540,1,1,0,36.0
132,0,3,0,47.0
143,0,3,1,19.0
804,1,3,1,27.0
553,1,3,1,22.0
803,1,3,1,0.42
342,0,2,1,28.0
117,0,2,1,29.0
8,1,3,0,27.0
114,0,3,0,17.0
684,0,2,1,60.0
537,1,1,0,30.0
676,0,3,1,24.5
493,0,1,1,71.0
479,1,3,0,2.0
278,0,3,1,7.0
174,0,1,1,56.0
37,0,3,1,21.0
58,1,2,0,5.0
57,0,3,1,28.5
94,0,3,1,59.0
209,1,1,1,40.0
621,1,1,1,42.0
784,0,3,1,25.0
86,0,3,1,16.0
12,0,3,1,20.0
397,0,2,1,46.0
730,1,1,0,29.0
221,0,2,1,27.0
349,0,3,1,42.0
813,0,3,0,6.0
535,1,2,0,7.0
382,0,3,1,32.0
691,1,3,0,4.0
220,1,3,1,16.0
866,1,2,0,27.0
587,1,1,1,60.0
106,1,3,0,21.0
271,1,3,1,25.0
853,1,1,0,16.0
696,0,3,1,44.0
518,1,2,0,36.0
609,1,1,0,40.0
102,0,1,1,21.0
27,0,1,1,19.0
16,0,3,1,2.0
562,0,2,1,28.0
733,0,2,1,23.0
419,0,3,0,10.0
362,0,3,0,45.0
889,1,1,1,26.0
412,1,1,0,33.0
543,1,2,1,32.0
322,1,2,0,30.0
171,0,3,1,4.0
532,0,3,1,17.0
401,0,3,1,26.0
43,1,2,0,3.0
396,0,3,0,31.0
441,0,3,1,20.0
10,1,3,0,4.0
312,0,2,0,26.0
25,1,3,0,38.0
275,1,1,0,63.0
807,0,3,0,18.0
873,0,3,1,47.0
439,0,2,1,31.0
749,0,3,1,31.0
252,0,1,1,62.0
576,1,2,0,34.0
118,0,1,1,24.0
387,1,2,0,36.0
673,1,2,1,31.0
496,1,1,0,54.0
228,0,2,1,18.0
723,0,2,1,50.0
869,1,3,1,4.0
192,1,3,0,19.0
97,1,1,1,23.0
437,1,2,0,24.0
344,0,2,1,36.0
89,0,3,1,24.0
501,0,3,0,21.0
233,1,3,0,5.0
338,1,3,1,45.0
292,0,2,1,36.0
113,0,3,0,20.0
757,0,2,1,18.0
146,1,3,1,27.0
155,0,1,1,51.0
735,0,3,1,28.5
294,0,3,1,24.0
0,0,3,1,22.0
881,0,3,1,33.0
442,0,3,1,25.0
631,0,3,1,51.0
509,1,3,1,26.0
345,1,2,0,24.0
145,0,2,1,19.0
283,1,3,1,19.0
655,0,2,1,24.0
558,1,1,0,39.0
341,1,1,0,24.0
654,0,3,0,18.0
179,0,3,1,36.0
651,1,2,0,18.0
494,0,3,1,21.0
808,0,2,1,39.0
658,0,2,1,23.0
333,0,3,1,16.0
617,0,3,0,26.0
641,1,1,0,24.0
61,1,1,0,38.0
325,1,1,0,36.0
243,0,3,1,22.0
890,0,3,1,32.0
750,1,2,0,4.0
135,0,2,1,23.0
614,0,3,1,35.0
675,0,3,1,18.0
424,0,3,1,18.0
127,1,3,1,24.0
461,0,3,1,34.0
801,1,2,0,31.0
688,0,3,1,18.0
222,0,3,1,51.0
380,1,1,0,42.0
610,0,3,0,39.0
857,1,1,1,51.0
188,0,3,1,40.0
153,0,3,1,40.5
824,0,3,1,2.0
777,1,3,0,5.0
230,1,1,0,35.0
566,0,3,1,19.0
788,1,3,1,1.0
879,1,1,0,56.0
450,0,2,1,36.0
399,1,2,0,28.0
822,0,1,1,38.0
177,0,1,0,50.0
175,0,3,1,18.0
865,1,2,0,42.0
398,0,2,1,23.0
22,1,3,0,15.0
215,1,1,0,31.0
728,0,2,1,25.0
390,1,1,1,36.0
831,1,2,1,0.83
13,0,3,1,39.0
381,1,3,0,1.0
33,0,2,1,66.0
672,0,2,1,70.0
211,1,2,0,35.0
748,0,1,1,19.0
843,0,3,1,34.5
308,0,2,1,30.0
373,0,1,1,22.0
820,1,1,0,52.0
339,0,1,1,45.0
193,1,2,1,3.0
156,1,3,0,16.0
624,0,3,1,21.0
426,1,2,0,28.0
357,0,2,0,38.0
142,1,3,0,24.0
686,0,3,1,14.0
216,1,3,0,27.0
632,1,1,1,32.0
577,1,1,0,39.0
74,1,3,1,32.0
586,0,2,1,47.0
276,0,3,0,45.0
348,1,3,1,3.0
20,0,2,1,35.0
536,0,1,1,45.0
400,1,3,1,39.0
318,1,1,0,31.0
550,1,1,1,17.0
855,1,3,0,18.0
236,0,2,1,44.0
742,1,1,0,21.0
791,0,2,1,16.0
489,1,3,1,9.0
119,0,3,0,2.0
224,1,1,1,38.0
377,0,1,1,27.0
565,0,3,1,24.0
726,1,2,0,30.0
628,0,3,1,26.0
626,0,2,1,57.0
789,0,1,1,46.0
567,0,3,0,29.0
6,0,1,1,54.0
874,1,2,0,28.0
60,0,3,1,22.0
882,0,3,0,22.0
681,1,1,1,27.0
213,0,2,1,30.0
18,0,3,0,31.0
63,0,3,1,4.0
862,1,1,0,48.0
817,0,2,1,31.0
3,1,1,0,35.0
594,0,2,1,37.0
544,0,1,1,50.0
394,1,3,0,24.0
821,1,3,1,27.0
352,0,3,1,15.0
122,0,2,1,32.5
355,0,3,1,28.0
625,0,1,1,61.0
280,0,3,1,65.0
34,0,1,1,28.0
854,0,2,0,44.0
327,1,2,0,36.0
67,0,3,1,19.0
453,1,1,1,49.0
285,0,3,1,33.0
51,0,3,1,21.0
197,0,3,1,42.0
293,0,3,0,24.0
856,1,1,0,45.0
469,1,3,0,0.75
462,0,1,1,47.0
218,1,1,0,32.0
758,0,3,1,34.0
636,0,3,1,32.0
665,0,2,1,32.0
242,0,2,1,29.0
761,0,3,1,41.0
771,0,3,1,48.0
561,0,3,1,40.0
880,1,2,0,25.0
592,0,3,1,47.0
861,0,2,1,21.0
747,1,2,0,30.0
769,0,3,1,32.0
88,1,1,0,23.0
583,0,1,1,36.0
210,0,3,1,24.0
591,1,1,0,52.0
204,1,3,1,18.0
386,0,3,1,1.0
239,0,2,1,33.0
634,0,3,0,9.0
455,1,3,1,29.0
480,0,3,1,9.0
806,0,1,1,39.0
652,0,3,1,21.0
191,0,2,1,19.0
695,0,2,1,52.0
734,0,2,1,23.0
281,0,3,1,28.0
606,0,3,1,30.0
717,1,2,0,27.0
131,0,3,1,20.0
530,1,2,0,2.0
528,0,3,1,39.0
702,0,3,0,18.0
729,0,3,0,25.0
96,0,1,1,71.0
144,0,2,1,18.0
512,1,1,1,36.0
860,0,3,1,41.0
148,0,2,1,36.5
70,0,2,1,32.0
190,1,2,0,32.0
506,1,2,0,33.0
842,1,1,0,30.0
257,1,1,0,30.0
607,1,1,1,27.0
646,0,3,1,19.0
765,1,1,0,51.0
694,0,1,1,60.0
9,1,2,0,14.0
725,0,3,1,20.0
50,0,3,1,7.0
571,1,1,0,53.0
173,0,3,1,21.0
316,1,2,0,24.0
379,0,3,1,19.0
678,0,3,0,43.0
682,0,3,1,20.0
460,1,1,1,48.0
78,1,2,1,0.83
139,0,1,1,24.0
649,1,3,0,23.0
660,1,1,1,50.0
798,0,3,1,30.0
326,0,3,1,61.0
833,0,3,1,23.0
372,0,3,1,19.0
605,0,3,1,36.0
520,1,1,0,30.0
189,0,3,1,36.0
545,0,1,1,64.0
845,0,3,1,42.0
554,1,3,0,22.0
850,0,3,1,4.0
331,0,1,1,45.5
780,1,3,0,13.0
447,1,1,1,34.0
796,1,1,0,49.0
52,1,1,0,49.0
157,0,3,1,30.0
534,0,3,0,30.0
523,1,1,0,44.0
619,0,2,1,26.0
383,1,1,0,35.0
246,0,3,0,25.0
438,0,1,1,64.0
184,1,3,0,4.0
183,1,2,1,1.0
661,0,3,1,40.0
870,0,3,1,26.0
677,1,3,0,18.0
435,1,1,0,14.0
585,1,1,0,18.0
403,0,3,1,28.0
231,0,3,1,29.0
152,0,3,1,55.5
759,1,1,0,33.0
178,0,2,1,30.0
851,0,3,1,74.0
245,0,1,1,44.0
346,1,2,0,40.0
366,1,1,0,60.0
503,0,3,0,37.0
151,1,1,0,22.0
227,0,3,1,20.5
251,0,3,0,29.0
551,0,2,1,27.0
309,1,1,0,30.0
521,0,3,1,22.0
795,0,2,1,39.0
161,1,2,0,40.0
505,0,1,1,18.0
847,0,3,1,35.0
699,0,3,1,42.0
272,1,2,0,41.0
811,0,3,1,39.0
685,0,2,1,25.0
814,0,3,1,30.5
693,0,3,1,25.0
484,1,1,1,25.0
864,0,2,1,24.0
644,1,3,0,0.75
332,0,1,1,38.0
555,0,1,1,62.0
627,1,1,0,21.0
141,1,3,0,22.0
288,1,2,1,42.0
779,1,1,0,43.0
467,0,1,1,56.0
289,1,3,0,22.0
736,0,3,0,48.0
395,0,3,1,22.0
515,0,1,1,47.0
800,0,2,1,34.0
446,1,2,0,13.0
321,0,3,1,27.0
350,0,3,1,23.0
472,1,2,0,33.0
482,0,3,1,50.0
279,1,3,0,35.0
848,0,2,1,28.0
731,0,3,1,11.0
597,0,3,1,49.0
434,0,1,1,50.0
638,0,3,0,41.0
877,0,3,1,19.0
823,1,3,0,27.0
805,0,3,1,31.0
762,1,3,1,20.0
754,1,2,0,48.0
701,1,1,1,35.0
110,0,1,1,47.0
302,0,3,1,19.0
200,0,3,1,28.0
663,0,3,1,36.0
49,0,3,0,18.0
683,0,3,1,14.0
212,0,3,1,22.0
764,0,3,1,16.0
755,1,2,1,0.67
841,0,2,1,16.0
120,0,2,1,21.0
708,1,1,0,22.0
297,0,1,0,2.0
722,0,2,1,34.0
581,1,1,0,39.0
698,0,1,1,49.0
785,0,3,1,25.0
255,1,3,0,29.0
492,0,1,1,55.0
499,0,3,1,24.0
756,0,3,1,28.0
269,1,1,0,35.0
4,0,3,1,35.0
799,0,3,0,30.0
689,1,1,0,15.0
124,0,1,1,54.0
721,0,3,1,17.0
510,1,3,1,29.0
635,1,2,0,28.0
62,0,1,1,45.0
41,0,2,0,27.0
248,1,1,1,37.0
167,0,3,0,45.0
35,0,1,1,42.0
787,0,3,1,8.0
286,1,3,1,30.0
620,0,3,1,27.0
474,0,3,0,22.0
360,0,3,1,40.0
526,1,2,0,50.0
491,0,3,1,21.0
745,0,1,1,70.0
630,1,1,1,80.0
172,1,3,0,1.0
81,1,3,1,29.0
595,0,3,1,36.0
160,0,3,1,44.0
867,0,1,1,31.0
659,0,1,1,58.0
84,1,2,0,17.0
15,1,2,0,55.0
195,1,1,0,58.0
54,0,1,1,65.0
623,0,3,1,21.0
476,0,2,1,34.0
232,0,2,1,59.0
268,1,1,0,58.0
69,0,3,1,26.0
421,0,3,1,21.0
370,1,1,1,25.0
314,0,2,1,43.0
582,0,2,1,54.0
575,0,3,1,19.0
887,1,1,0,19.0
336,0,1,1,29.0
249,0,2,1,54.0
203,0,3,1,45.5
700,1,1,0,18.0
504,1,1,0,16.0
604,1,1,1,35.0
133,1,2,0,29.0
712,1,1,1,48.0
488,0,3,1,30.0
1,1,1,0,38.0
834,0,3,1,18.0
706,1,2,0,45.0
103,0,3,1,33.0
254,0,3,0,41.0
44,1,3,0,19.0
642,0,3,0,2.0
539,1,1,0,22.0
574,0,3,1,16.0
456,0,1,1,65.0
116,0,3,1,70.5
423,0,3,0,28.0
710,1,1,0,24.0
432,1,2,0,42.0
299,1,1,0,50.0
14,0,3,0,14.0
393,1,1,0,23.0
753,0,3,1,23.0
486,1,1,0,35.0
340,1,2,1,2.0
208,1,3,0,16.0
883,0,2,1,28.0
809,1,1,0,33.0
615,1,2,0,24.0
871,1,1,0,47.0
637,0,2,1,31.0
305,1,1,1,0.92
713,0,3,1,29.0
707,1,1,1,42.0
234,0,2,1,24.0
603,0,3,1,44.0
645,1,1,1,48.0
75,0,3,1,25.0
600,1,2,0,24.0
705,0,2,1,39.0
315,1,3,0,26.0
24,0,3,0,8.0
391,1,3,1,21.0
580,1,2,0,25.0
202,0,3,1,34.0
343,0,2,1,25.0
237,1,2,0,8.0
483,1,3,0,63.0
519,0,3,1,32.0
622,1,3,1,20.0
429,1,3,1,32.0
385,0,2,1,18.0
827,1,2,1,1.0
162,0,3,1,26.0
830,1,3,0,15.0
125,1,3,1,12.0
465,0,3,1,38.0
112,0,3,1,22.0
579,1,3,1,32.0
408,0,3,1,21.0
266,0,3,1,16.0
588,0,3,1,22.0
150,0,2,1,51.0
770,0,3,1,24.0
23,1,1,1,28.0
875,1,3,0,15.0
92,0,1,1,46.0
134,0,2,1,25.0
337,1,1,0,41.0
548,0,3,1,33.0
130,0,3,1,33.0
