state_National,Pauvreté
Alabama,17.1
Alaska,11.7
Arizona,14.4
Arkansas,17.3
California,12.9
Colorado,9.9
Connecticut,10.6
Delaware,12.8
District of Columbia,17
Florida,13.9
Georgia,14.8
Hawaii,9.5
Idaho,12.1
Illinois,12.3
Indiana,13.3
Iowa,11.5
Kansas,12.3
Kentucky,17.1
Louisiana,19.1
Maine,12
Maryland,9.4
Massachusetts,10.2
Michigan,14.2
Minnesota,9.8
Mississippi,20.3
Missouri,13.5
Montana,13.4
National,13.2
Nebraska,11.4
Nevada,13.5
New Hampshire,7.9
New Jersey,9.7
New Mexico,19.3
New York,13.9
North Carolina,14.4
North Dakota,11.2
Ohio,14
Oklahoma,15.8
Oregon,12.8
Pennsylvania,12.4
Rhode Island,13.4
South Carolina,15.5
South Dakota,13.4
Tennessee,15.5
Texas,15.1
Utah,9.5
Vermont,11.3
Virginia,10.9
Washington,10.5
West Virginia,17.9
Wisconsin,11.3
Wyoming,11.4
